Load Time (ms),Sample Time (ms),Sample Runs,Sample Throughput (tokens/second),Prefill Time (ms),Prefill Tokens,Prefill Throughput (tokens/second),Decode Time (ms),Decode Runs,Decode Throughput (tokens/second),Total Time (ms),Total Tokens,model
213.85,48.41,500,10328.66,316.26,14.0,44.27,45753.78,499.0,9.990000000000002,47159.76,513.0,Yi
213.85,46.27,500,10806.84,217.34,9.0,41.41,45623.45,499.0,9.990000000000002,46889.2,508.0,Yi
213.85,48.82,500,10242.33,267.52,13.0,48.59,45699.94,499.0,9.990000000000002,47058.98,512.0,Yi
213.85,42.17,500,11857.89,214.97,9.0,41.87,45589.51,499.0,9.990000000000002,46756.42,508.0,Yi
213.85,48.91,500,10222.65,687.31,65.0,57.39125,46823.79,499.0,9.990000000000002,48600.6,564.0,Yi
213.85,47.01,500,10636.26,356.93,15.0,42.02,45720.98,499.0,9.990000000000002,47158.65,514.0,Yi
213.85,45.82,500,10912.27,722.04,59.0,57.39125,46638.11,499.0,9.990000000000002,48377.77,558.0,Yi
213.85,49.52,500,10097.13,283.51,18.0,57.39125,45765.69,499.0,9.990000000000002,47150.52,517.0,Yi
213.85,45.76,500,10927.29,216.75,20.0,57.39125,45807.92,499.0,9.990000000000002,47060.29,519.0,Yi
213.85,44.78,500,11166.45,338.22,19.0,56.18,45885.58,499.0,9.990000000000002,47236.19,518.0,Yi
213.85,44.66,500,11194.45,337.2,11.0,32.62,45592.97,499.0,9.990000000000002,46935.28,510.0,Yi
213.85,49.88,500,10023.45,206.31,17.0,57.39125,45768.93,499.0,9.990000000000002,47064.64,516.0,Yi
213.85,45.58,500,10970.93,268.21,18.0,57.39125,45755.96,499.0,9.990000000000002,47049.71,517.0,Yi
213.85,45.5,500,10989.74,227.5,20.0,57.39125,45822.16,499.0,9.990000000000002,47067.8,519.0,Yi
213.85,44.81,500,11156.98,1317.46,73.0,57.39125,47503.61,499.0,9.990000000000002,49827.75,606.0,Yi
213.85,45.51,500,10985.87,265.58,21.0,57.39125,45891.88,499.0,9.990000000000002,47193.52,520.0,Yi
213.85,48.2,500,10372.37,260.87,21.0,57.39125,45850.78,499.0,9.990000000000002,47183.41,520.0,Yi
213.85,45.98,500,10873.58,307.6,25.0,57.39125,45918.5,499.0,9.990000000000002,47282.24,524.0,Yi
213.85,43.39,500,11523.13,1137.88,73.0,57.39125,47396.52,499.0,9.990000000000002,49514.68,594.0,Yi
213.85,45.17,500,11068.8,505.9,39.0,57.39125,46208.2,499.0,9.990000000000002,47740.81,538.0,Yi
213.85,50.76,500,9849.69,617.05,56.0,57.39125,46532.89,499.0,9.990000000000002,48256.11,555.0,Yi
213.85,46.89,500,10663.25,260.62,21.0,57.39125,45882.82,499.0,9.990000000000002,47179.04,520.0,Yi
213.85,45.72,500,10936.85,504.46,44.0,57.39125,46339.83,499.0,9.990000000000002,47877.58,543.0,Yi
213.85,46.04,500,10859.18,318.56,14.0,43.95,45694.54,499.0,9.990000000000002,47044.24,513.0,Yi
213.85,45.27,500,11045.09,158.95,16.0,57.39125,45752.02,499.0,9.990000000000002,46936.62,515.0,Yi
213.85,47.41,500,10546.3,310.31,11.0,35.45,45657.49,499.0,9.990000000000002,47041.94,510.0,Yi
213.85,46.31,500,10796.8,505.16,49.0,57.39125,46476.76,499.0,9.990000000000002,48027.54,548.0,Yi
